TradeDate;OpenPrice;HighPrice;LowPrice;ClosePrice;PercentNetChange;NetChange;PercentPriceChange;PriceChange
2016/08/04;563,99;583,97;552;576,13;2,26;12,71;2,15;12,14
2016/08/03;540;572,34;521;563,42;4,33;23,39;4,34;23,42
2016/08/02;606,84;613,03;465,28;540,03;-10,94;-66,32;-11,01;-66,81
2016/08/01;622,5;630;603,63;606,35;-2,8;-17,48;-2,59;-16,15
2016/07/31;654,02;654,71;614,97;623,83;-4,71;-30,84;-4,62;-30,19
2016/07/30;654,88;657,5;652,19;654,67;0,01;0,06;-0,03;-0,21
2016/07/29;654,84;657,48;653;654,61;0,24;1,54;-0,04;-0,23
2016/07/28;655,13;657,89;652,41;653,07;-0,06;-0,41;-0,31;-2,06
2016/07/27;651,22;659,98;646,31;653,48;0,34;2,24;0,35;2,26
2016/07/26;655;656,94;645,01;651,24;-0,57;-3,72;-0,57;-3,76
2016/07/25;659,64;661,99;652,28;654,96;-0,98;-6,51;-0,71;-4,68
2016/07/24;655,52;665;651,99;661,47;0,91;5,95;0,91;5,95
2016/07/23;647,88;656,77;646;655,52;0,86;5,57;1,18;7,64
2016/07/22;663,25;666,3;645;649,95;-2,11;-14,04;-2,01;-13,3
2016/07/21;667,01;667,1;660,1;663,99;-0,46;-3,04;-0,45;-3,02
2016/07/20;674,8;675;660;667,03;-0,96;-6,45;-1,15;-7,77
2016/07/19;673,45;675,81;666;673,48;0,21;1,38;0;0,03
2016/07/18;679,54;682,21;666,12;672,1;-1,09;-7,44;-1,09;-7,44
2016/07/17;662,45;684,19;661,35;679,54;2,58;17,09;2,58;17,09
2016/07/16;664,6;666,67;655;662,45;-0,32;-2,15;-0,32;-2,15
2016/07/15;660,3;670,01;658,41;664,6;0,83;5,5;0,65;4,3
